task,model,attack,epsilon,clean_acc,clean_f1,adv_acc,adv_f1,acc_drop,asr,evasion_asr,snn_agreement,num_features,time_window
binary,XGBoost,FGSM-SNN,0.1,0.845977463312369,0.8460537415329679,0.5807127882599581,0.5073642736944175,0.2652646750524109,0.14257592854649853,0.14257592854649853,0.8891509433962264,263.0, (1hours)
binary,XGBoost,FGSM-SNN,0.2,0.845977463312369,0.8460537415329679,0.606983752620545,0.5080994423888151,0.2389937106918239,0.0812973167368961,0.0812973167368961,0.8891509433962264,263.0, (1hours)
binary,XGBoost,FGSM-SNN,0.3,0.845977463312369,0.8460537415329679,0.6117007337526206,0.5059027260343986,0.23427672955974843,0.06800774813914434,0.06800774813914434,0.8891509433962264,263.0, (1hours)
binary,XGBoost,PGD-10-SNN,0.05,0.845977463312369,0.8460537415329679,0.51958857442348,0.46456535385517966,0.3263888888888889,0.22411065166913452,0.22411065166913452,0.8891509433962264,263.0, (1hours)
binary,XGBoost,PGD-10-SNN,0.1,0.845977463312369,0.8460537415329679,0.5751441299790356,0.48395543762311505,0.27083333333333337,0.12655237982671272,0.12655237982671272,0.8891509433962264,263.0, (1hours)
binary,XGBoost,PGD-10-SNN,0.2,0.845977463312369,0.8460537415329679,0.6053459119496856,0.492826924462044,0.24063155136268344,0.07284425509600971,0.07284425509600971,0.8891509433962264,263.0, (1hours)
binary,XGBoost,PGD-10-SNN,0.3,0.845977463312369,0.8460537415329679,0.5952568134171908,0.487653868158285,0.25072064989517817,0.08625827951861345,0.08625827951861345,0.8891509433962264,263.0, (1hours)
binary,XGBoost,PGD-20-SNN,0.05,0.845977463312369,0.8460537415329679,0.5186058700209644,0.4637463711376996,0.32737159329140464,0.22514129123229512,0.22514129123229512,0.8891509433962264,263.0, (1hours)
binary,XGBoost,PGD-20-SNN,0.1,0.845977463312369,0.8460537415329679,0.5745545073375262,0.4837574041371526,0.2714229559748428,0.12724153049045178,0.12724153049045178,0.8891509433962264,263.0, (1hours)
binary,XGBoost,PGD-20-SNN,0.2,0.845977463312369,0.8460537415329679,0.6113076519916143,0.4953536512693238,0.23466981132075473,0.06315920121517714,0.06315920121517714,0.8891509433962264,263.0, (1hours)
binary,XGBoost,PGD-20-SNN,0.3,0.845977463312369,0.8460537415329679,0.597877358490566,0.48874101687289284,0.24810010482180295,0.08191170508591046,0.08191170508591046,0.8891509433962264,263.0, (1hours)
multi,DT,BBA,0.05,0.7452830188679245,0.7429855967350167,0.1132730607966457,0.11428320885325968,0.6320099580712788,0.7698326775406016,0.22867595795460366,0.8516771488469601,263.0, (1hours)
multi,DT,BBA,0.1,0.7452830188679245,0.7429855967350167,0.09237421383647798,0.09007928814139891,0.6529088050314465,0.8136377399392254,0.23975986665883747,0.8516771488469601,263.0, (1hours)
multi,DT,BBA,0.2,0.7452830188679245,0.7429855967350167,0.023912473794549267,0.020691432608623918,0.7213705450733753,0.9558250276590872,0.3416027691812368,0.8516771488469601,263.0, (1hours)
multi,DT,BBA,0.3,0.7452830188679245,0.7429855967350167,0.021160901467505242,0.01838358188108764,0.7241221174004193,0.9616237902080281,0.3297541076347267,0.8516771488469601,263.0, (1hours)
multi,DT,DBA-style,0.05,0.7452830188679245,0.7429855967350167,0.15631551362683438,0.1473634308407529,0.5889675052410901,0.6893666631525266,0.206845814426837,0.8516771488469601,263.0, (1hours)
multi,DT,DBA-style,0.1,0.7452830188679245,0.7429855967350167,0.06453092243186583,0.06155969771846084,0.6807520964360587,0.8810757789756389,0.3276234444266638,0.8516771488469601,263.0, (1hours)
multi,DT,DBA-style,0.2,0.7452830188679245,0.7429855967350167,0.05555555555555556,0.05566406175585377,0.6897274633123689,0.8981106500794545,0.3266585464098131,0.8516771488469601,263.0, (1hours)
multi,DT,DBA-style,0.3,0.7452830188679245,0.7429855967350167,0.04612159329140461,0.04704169383447289,0.69916142557652,0.9164185264742293,0.3287370189267297,0.8516771488469601,263.0, (1hours)
multi,DT,FGSM-SNN,0.05,0.7452830188679245,0.7429855967350167,0.3536425576519916,0.3471643672417378,0.39164046121593293,0.5024397017658303,0.24599502584027388,0.8516771488469601,263.0, (1hours)
multi,DT,FGSM-SNN,0.1,0.7452830188679245,0.7429855967350167,0.34276729559748426,0.34045158021023053,0.4025157232704403,0.5174918985503396,0.22102594857246435,0.8516771488469601,263.0, (1hours)
multi,DT,FGSM-SNN,0.2,0.7452830188679245,0.7429855967350167,0.3023453878406709,0.30608092558826006,0.44293763102725364,0.6298620714091323,0.24176629391493853,0.8516771488469601,263.0, (1hours)
multi,DT,FGSM-SNN,0.3,0.7452830188679245,0.7429855967350167,0.2801362683438155,0.2897664722211398,0.46514675052410903,0.6652911500084255,0.2587880906587584,0.8516771488469601,263.0, (1hours)
multi,DT,PGD-10-SNN,0.05,0.7452830188679245,0.7429855967350167,0.3955057651991614,0.3907229691598266,0.3497772536687631,0.45047024690243503,0.20300602014722102,0.8516771488469601,263.0, (1hours)
multi,DT,PGD-10-SNN,0.1,0.7452830188679245,0.7429855967350167,0.39576781970649894,0.4039419380529677,0.3495151991614256,0.44210623564233664,0.1783633069534309,0.8516771488469601,263.0, (1hours)
multi,DT,PGD-10-SNN,0.2,0.7452830188679245,0.7429855967350167,0.30660377358490565,0.3139260764041134,0.4386792452830189,0.5856922494487513,0.26772827780145203,0.8516771488469601,263.0, (1hours)
multi,DT,PGD-10-SNN,0.3,0.7452830188679245,0.7429855967350167,0.2500655136268344,0.2627081638148826,0.49521750524109015,0.6780011120914873,0.3476396475650612,0.8516771488469601,263.0, (1hours)
multi,DT,PGD-20-SNN,0.05,0.7452830188679245,0.7429855967350167,0.38089622641509435,0.37871923733905627,0.3643867924528302,0.47760637251069993,0.1944147834869115,0.8516771488469601,263.0, (1hours)
multi,DT,PGD-20-SNN,0.1,0.7452830188679245,0.7429855967350167,0.3923611111111111,0.40402091327504874,0.3529219077568134,0.4607032363010329,0.1786151134260665,0.8516771488469601,263.0, (1hours)
multi,DT,PGD-20-SNN,0.2,0.7452830188679245,0.7429855967350167,0.30725890985324944,0.3149333784438043,0.43802410901467503,0.5830308798673434,0.2621284323810179,0.8516771488469601,263.0, (1hours)
multi,DT,PGD-20-SNN,0.3,0.7452830188679245,0.7429855967350167,0.250851677148847,0.26466534584829704,0.49443134171907754,0.6764359378572566,0.33464022795590076,0.8516771488469601,263.0, (1hours)
multi,LightGBM,BBA,0.05,0.774895178197065,0.7725499377178396,0.008254716981132075,0.00382295175719007,0.7666404612159329,0.9836248558742,0.2620971167186603,0.8733621593291405,263.0, (1hours)
