task,fold,model,attack,epsilon,clean_acc,clean_f1,adv_acc,adv_f1,acc_drop,asr,evasion_asr,snn_agreement,num_classes,num_features,steps,alpha_factor,alpha,max_attempts,top_k,perturb_features,max_features,time_window
multi,1,XGBoost,BBA,0.05,0.855083857442348,0.8534601514359273,0.008123689727463312,0.006149066575150228,0.8469601677148847,0.9851745576279293,0.5351506456241033,0.8823375262054507,6,263,,,,170.0,170.0,165.0,, (180.0days)
multi,1,XGBoost,DBA-style,0.05,0.855083857442348,0.8534601514359273,0.3946540880503145,0.36197334826679334,0.46042976939203356,0.563845050215208,0.2458153993304639,0.8823375262054507,6,263,,,,,,,160.0, (180.0days)
multi,1,XGBoost,FGSM-SNN,0.1,0.855083857442348,0.8534601514359273,0.18553459119496854,0.14084621442111295,0.6695492662473795,0.7207077953132472,0.31898613103778095,0.8823375262054507,6,263,,,,,,,, (180.0days)
multi,1,XGBoost,PGD-10-SNN,0.1,0.855083857442348,0.8534601514359273,0.19680293501048218,0.14666826560077387,0.6582809224318659,0.6829268292682927,0.3385939741750359,0.8823375262054507,6,263,10.0,8.0,0.0375,,,,, (180.0days)
multi,1,XGBoost,PGD-20-SNN,0.1,0.855083857442348,0.8534601514359273,0.1949685534591195,0.145149332892212,0.6601153039832286,0.681013868962219,0.34146341463414637,0.8823375262054507,6,263,20.0,15.5,0.01935483870967742,,,,, (180.0days)
multi,1,XGBoost,BBA,0.1,0.855083857442348,0.8534601514359273,0.001310272536687631,0.0010106592209835608,0.8537735849056605,0.9976087996174079,0.5442372070779531,0.8823375262054507,6,263,,,,170.0,170.0,165.0,, (180.0days)
multi,1,XGBoost,DBA-style,0.1,0.855083857442348,0.8534601514359273,0.3836477987421384,0.35150558197606585,0.47143605870020966,0.5667144906743186,0.24964131994261118,0.8823375262054507,6,263,,,,,,,160.0, (180.0days)
multi,1,XGBoost,FGSM-SNN,0.2,0.855083857442348,0.8534601514359273,0.13128930817610063,0.10304471998543833,0.7237945492662474,0.8043998087039694,0.3907221425155428,0.8823375262054507,6,263,,,,,,,, (180.0days)
multi,1,XGBoost,PGD-10-SNN,0.2,0.855083857442348,0.8534601514359273,0.16063941299790357,0.12321800626862944,0.6944444444444444,0.7317073170731707,0.36585365853658536,0.8823375262054507,6,263,10.0,8.0,0.0375,,,,, (180.0days)
multi,1,XGBoost,PGD-20-SNN,0.2,0.855083857442348,0.8534601514359273,0.1559224318658281,0.12118611748893152,0.69916142557652,0.7388809182209469,0.37733142037302725,0.8823375262054507,6,263,20.0,15.5,0.01935483870967742,,,,, (180.0days)
multi,1,XGBoost,BBA,0.2,0.855083857442348,0.8534601514359273,0.0002620545073375262,0.0002058036306489685,0.8548218029350105,0.9995217599234816,0.5815399330463893,0.8823375262054507,6,263,,,,170.0,170.0,165.0,, (180.0days)
multi,1,XGBoost,DBA-style,0.2,0.855083857442348,0.8534601514359273,0.38155136268343814,0.3493775922054095,0.4735324947589099,0.5652797704447633,0.24772835963653755,0.8823375262054507,6,263,,,,,,,160.0, (180.0days)
multi,1,XGBoost,FGSM-SNN,0.3,0.855083857442348,0.8534601514359273,0.1040356394129979,0.08545059567276114,0.7510482180293502,0.8507890961262554,0.4251554280248685,0.8823375262054507,6,263,,,,,,,, (180.0days)
multi,1,XGBoost,PGD-10-SNN,0.3,0.855083857442348,0.8534601514359273,0.15644654088050314,0.12368022857924213,0.6986373165618449,0.7393591582974653,0.367766618842659,0.8823375262054507,6,263,10.0,8.0,0.0375,,,,, (180.0days)
multi,1,XGBoost,PGD-20-SNN,0.3,0.855083857442348,0.8534601514359273,0.15539832285115304,0.12286959147015261,0.699685534591195,0.7403156384505022,0.36537541846006694,0.8823375262054507,6,263,20.0,15.5,0.01935483870967742,,,,, (180.0days)
