task,fold,model,defense,evaluation_mode,attack,epsilon,base_clean_acc,base_clean_f1,defended_clean_acc,defended_clean_f1,clean_acc_drop,base_snn_agreement,defended_snn_agreement,train_epsilon,augmented_train_samples,num_classes,num_features,base_adv_acc,base_adv_f1,base_asr,base_evasion_asr,defended_adv_acc,defended_adv_f1,defended_asr,defended_evasion_asr,robustness_improvement,attack_reference_adv_acc,attack_reference_asr,attack_reference_evasion_asr,steps,alpha_factor,alpha,max_attempts,top_k,perturb_features,max_features
binary,1,RF,Mixed,transfer,PGD-20-SNN,0.1,0.8674004192872118,0.8678449272084983,0.8613731656184487,0.8618711389234843,0.006027253668763111,0.8689727463312369,0.8828616352201258,0.3,57240,2,716,0.4879454926624738,0.4397403875271151,0.2403976502485314,0.2403976502485314,0.9997379454926625,0.9997379225634998,0.0,0.0,0.5117924528301887,0.4879454926624738,0.2403976502485314,0.2403976502485314,20.0,19.0,0.005263157894736842,,,,
binary,1,RF,Mixed,transfer,BBA,0.1,0.8674004192872118,0.8678449272084983,0.8613731656184487,0.8618711389234843,0.006027253668763111,0.8689727463312369,0.8828616352201258,0.3,57240,2,716,0.445230607966457,0.4013937593489074,0.23226389516493448,0.23226389516493448,0.8343815513626834,0.8321992698619244,0.0009090909090909091,0.0009090909090909091,0.3891509433962264,0.445230607966457,0.23226389516493448,0.23226389516493448,,,,170.0,280.0,200.0,
binary,1,RF,Mixed,transfer,DBA-style,0.1,0.8674004192872118,0.8678449272084983,0.8613731656184487,0.8618711389234843,0.006027253668763111,0.8689727463312369,0.8828616352201258,0.3,57240,2,716,0.7785639412997903,0.7773508821918326,0.05422503389064618,0.05422503389064618,0.8613731656184487,0.861826742683102,0.005909090909090909,0.005909090909090909,0.08280922431865834,0.7785639412997903,0.05422503389064618,0.05422503389064618,,,,,,,175.0
binary,1,RF,Mixed,transfer,FGSM-SNN,0.2,0.8674004192872118,0.8678449272084983,0.8613731656184487,0.8618711389234843,0.006027253668763111,0.8689727463312369,0.8828616352201258,0.3,57240,2,716,0.38233752620545075,0.37426839715248744,0.4496159060099413,0.4496159060099413,1.0,1.0,0.0,0.0,0.6176624737945493,0.38233752620545075,0.4496159060099413,0.4496159060099413,,,,,,,
binary,1,RF,Mixed,transfer,PGD-10-SNN,0.2,0.8674004192872118,0.8678449272084983,0.8613731656184487,0.8618711389234843,0.006027253668763111,0.8689727463312369,0.8828616352201258,0.3,57240,2,716,0.4300314465408805,0.4076735397822745,0.3746046091278807,0.3746046091278807,1.0,1.0,0.0,0.0,0.5699685534591195,0.4300314465408805,0.3746046091278807,0.3746046091278807,10.0,10.0,0.02,,,,
binary,1,RF,Mixed,transfer,PGD-20-SNN,0.2,0.8674004192872118,0.8678449272084983,0.8613731656184487,0.8618711389234843,0.006027253668763111,0.8689727463312369,0.8828616352201258,0.3,57240,2,716,0.419811320754717,0.39996001913348833,0.3913239945774966,0.3913239945774966,1.0,1.0,0.0,0.0,0.5801886792452831,0.419811320754717,0.3913239945774966,0.3913239945774966,20.0,19.0,0.010526315789473684,,,,
binary,1,RF,Mixed,transfer,BBA,0.2,0.8674004192872118,0.8678449272084983,0.8613731656184487,0.8618711389234843,0.006027253668763111,0.8689727463312369,0.8828616352201258,0.3,57240,2,716,0.2811844863731656,0.28595812359324596,0.5151378219611388,0.5151378219611388,0.875,0.8752453181225992,0.00045454545454545455,0.00045454545454545455,0.5938155136268344,0.2811844863731656,0.5151378219611388,0.5151378219611388,,,,170.0,280.0,200.0,
binary,1,RF,Mixed,transfer,DBA-style,0.2,0.8674004192872118,0.8678449272084983,0.8613731656184487,0.8618711389234843,0.006027253668763111,0.8689727463312369,0.8828616352201258,0.3,57240,2,716,0.7769916142557652,0.7757259794858397,0.055128784455490284,0.055128784455490284,0.8681865828092243,0.8685966200724337,0.003181818181818182,0.003181818181818182,0.0911949685534591,0.7769916142557652,0.055128784455490284,0.055128784455490284,,,,,,,175.0
binary,1,RF,Mixed,transfer,FGSM-SNN,0.3,0.8674004192872118,0.8678449272084983,0.8613731656184487,0.8618711389234843,0.006027253668763111,0.8689727463312369,0.8828616352201258,0.3,57240,2,716,0.4449685534591195,0.4191660755873133,0.3411658382286489,0.3411658382286489,1.0,1.0,0.0,0.0,0.5550314465408805,0.4449685534591195,0.3411658382286489,0.3411658382286489,,,,,,,
binary,1,RF,Mixed,transfer,PGD-10-SNN,0.3,0.8674004192872118,0.8678449272084983,0.8613731656184487,0.8618711389234843,0.006027253668763111,0.8689727463312369,0.8828616352201258,0.3,57240,2,716,0.3920335429769392,0.3813296774376026,0.447356529597831,0.447356529597831,1.0,1.0,0.0,0.0,0.6079664570230607,0.3920335429769392,0.447356529597831,0.447356529597831,10.0,10.0,0.03,,,,
