task,model,defense,evaluation_mode,attack,epsilon,base_clean_acc,defended_clean_acc,clean_acc_drop,base_adv_acc,defended_adv_acc,robustness_improvement,base_asr,defended_asr,base_evasion_asr,defended_evasion_asr,base_snn_agreement,defended_snn_agreement,num_features
binary,DT,Mixed,transfer,FGSM-SNN,0.2,0.8479428721174004,0.8104035639412999,0.0375393081761006,0.36969339622641506,0.8491876310272537,0.4794942348008385,0.6224721996940791,0.0010999613826760102,0.6224721996940791,0.0010999613826760102,0.8731656184486374,0.9198768343815513,716.0
binary,DT,Mixed,transfer,FGSM-SNN,0.3,0.8479428721174004,0.8104035639412999,0.0375393081761006,0.37827568134171907,0.9992793501048218,0.6210036687631026,0.5828449864139975,0.00043514296770343715,0.5828449864139975,0.00043514296770343715,0.8731656184486374,0.9198768343815513,716.0
binary,DT,Mixed,transfer,PGD-10-SNN,0.05,0.8479428721174004,0.8104035639412999,0.0375393081761006,0.3759171907756813,0.5208988469601677,0.14498165618448638,0.49410221809157656,0.2452841771158565,0.49410221809157656,0.2452841771158565,0.8731656184486374,0.9198768343815513,716.0
binary,DT,Mixed,transfer,PGD-10-SNN,0.1,0.8479428721174004,0.8104035639412999,0.0375393081761006,0.2684748427672956,0.8035901467505241,0.5351153039832285,0.6699671579182462,0.052507538010655275,0.6699671579182462,0.052507538010655275,0.8731656184486374,0.9198768343815513,716.0
binary,DT,Mixed,transfer,PGD-10-SNN,0.2,0.8479428721174004,0.8104035639412999,0.0375393081761006,0.257206498951782,0.8611766247379455,0.6039701257861635,0.6789551808599853,0.0016505785427106598,0.6789551808599853,0.0016505785427106598,0.8731656184486374,0.9198768343815513,716.0
binary,DT,Mixed,transfer,PGD-10-SNN,0.3,0.8479428721174004,0.8104035639412999,0.0375393081761006,0.2808569182389937,0.9995414046121593,0.7186844863731656,0.6301622869263827,0.0006579593669904247,0.6301622869263827,0.0006579593669904247,0.8731656184486374,0.9198768343815513,716.0
binary,DT,Mixed,transfer,PGD-20-SNN,0.05,0.8479428721174004,0.8104035639412999,0.0375393081761006,0.3804376310272537,0.5246986373165619,0.14426100628930816,0.4904600347676568,0.24330190702151178,0.4904600347676568,0.24330190702151178,0.8731656184486374,0.9198768343815513,716.0
binary,DT,Mixed,transfer,PGD-20-SNN,0.1,0.8479428721174004,0.8104035639412999,0.0375393081761006,0.2737159329140461,0.8041797693920335,0.5304638364779874,0.6574527323631452,0.05261252237211596,0.6574527323631452,0.05261252237211596,0.8731656184486374,0.9198768343815513,716.0
binary,DT,Mixed,transfer,PGD-20-SNN,0.2,0.8479428721174004,0.8104035639412999,0.0375393081761006,0.2526205450733753,0.8567216981132075,0.6041011530398323,0.6897418520112365,0.0015442665159127909,0.6897418520112365,0.0015442665159127909,0.8731656184486374,0.9198768343815513,716.0
binary,DT,Mixed,transfer,PGD-20-SNN,0.3,0.8479428721174004,0.8104035639412999,0.0375393081761006,0.28603249475890985,0.9995414046121593,0.7135089098532496,0.6233757609959488,0.0005424851746592121,0.6233757609959488,0.0005424851746592121,0.8731656184486374,0.9198768343815513,716.0
binary,DT,PGD-20-SNN,transfer,BBA,0.05,0.8479428721174004,0.8486635220125787,-0.0007206498951781992,0.05588312368972746,0.7171776729559749,0.6612945492662474,0.8992358852171656,0.11181012604483058,0.8992358852171656,0.11181012604483058,0.8731656184486374,0.8711346960167715,716.0
binary,DT,PGD-20-SNN,transfer,BBA,0.1,0.8479428721174004,0.8486635220125787,-0.0007206498951781992,0.010351153039832285,0.6824554507337526,0.6721042976939203,0.9813286972990866,0.14274537200978182,0.9813286972990866,0.14274537200978182,0.8731656184486374,0.8711346960167715,716.0
binary,DT,PGD-20-SNN,transfer,BBA,0.2,0.8479428721174004,0.8486635220125787,-0.0007206498951781992,0.00504454926624738,0.6392164570230608,0.6341719077568134,0.990911258322015,0.14727715531181834,0.990911258322015,0.14727715531181834,0.8731656184486374,0.8711346960167715,716.0
binary,DT,PGD-20-SNN,transfer,BBA,0.3,0.8479428721174004,0.8486635220125787,-0.0007206498951781992,0.002882599580712788,0.6227725366876311,0.6198899371069182,0.9948193475806737,0.18082330978193728,0.9948193475806737,0.18082330978193728,0.8731656184486374,0.8711346960167715,716.0
binary,DT,PGD-20-SNN,transfer,DBA-style,0.05,0.8479428721174004,0.8486635220125787,-0.0007206498951781992,0.18075209643605872,0.7764019916142557,0.5956498951781971,0.731257182641242,0.07384302916909219,0.731257182641242,0.07384302916909219,0.8731656184486374,0.8711346960167715,716.0
binary,DT,PGD-20-SNN,transfer,DBA-style,0.1,0.8479428721174004,0.8486635220125787,-0.0007206498951781992,0.15343291404612158,0.7659853249475891,0.6125524109014675,0.774959391829999,0.09177009366666643,0.774959391829999,0.09177009366666643,0.8731656184486374,0.8711346960167715,716.0
binary,DT,PGD-20-SNN,transfer,DBA-style,0.2,0.8479428721174004,0.8486635220125787,-0.0007206498951781992,0.11530398322851153,0.7467898322851153,0.6314858490566038,0.8017984140396954,0.0990207817143351,0.8017984140396954,0.0990207817143351,0.8731656184486374,0.8711346960167715,716.0
