task,model,defense,evaluation_mode,attack,epsilon,base_clean_acc,defended_clean_acc,clean_acc_drop,base_adv_acc,defended_adv_acc,robustness_improvement,base_asr,defended_asr,base_evasion_asr,defended_evasion_asr,base_snn_agreement,defended_snn_agreement,num_features
binary,DT,Mixed,transfer,PGD-10-SNN,0.2,0.9069706498951782,0.9042845911949686,0.0026860587002096314,0.37827568134171907,0.9518474842767296,0.5735718029350105,0.5650095276725017,0.00248748849042767,0.5650095276725017,0.00248748849042767,0.8888233752620545,0.8938679245283019,716.0
binary,DT,Mixed,transfer,PGD-10-SNN,0.3,0.9069706498951782,0.9042845911949686,0.0026860587002096314,0.45826781970649894,0.9988207547169812,0.5405529350104822,0.493751239184942,0.0016342965244465675,0.493751239184942,0.0016342965244465675,0.8888233752620545,0.8938679245283019,716.0
binary,DT,Mixed,transfer,PGD-20-SNN,0.05,0.9069706498951782,0.9042845911949686,0.0026860587002096314,0.33647798742138363,0.7370283018867925,0.40055031446540884,0.6124873008358065,0.11973311101967968,0.6124873008358065,0.11973311101967968,0.8888233752620545,0.8938679245283019,716.0
binary,DT,Mixed,transfer,PGD-20-SNN,0.1,0.9069706498951782,0.9042845911949686,0.0026860587002096314,0.27384696016771487,0.8440775681341719,0.570230607966457,0.7312118651692218,0.01545946817666537,0.7312118651692218,0.01545946817666537,0.8888233752620545,0.8938679245283019,716.0
binary,DT,Mixed,transfer,PGD-20-SNN,0.2,0.9069706498951782,0.9042845911949686,0.0026860587002096314,0.36563155136268344,0.9507992662473794,0.585167714884696,0.5831163072625605,0.003038082903335276,0.5831163072625605,0.003038082903335276,0.8888233752620545,0.8938679245283019,716.0
binary,DT,Mixed,transfer,PGD-20-SNN,0.3,0.9069706498951782,0.9042845911949686,0.0026860587002096314,0.45604035639413,0.9984931865828093,0.5424528301886793,0.49800313054200734,0.0017375189081723498,0.49800313054200734,0.0017375189081723498,0.8888233752620545,0.8938679245283019,716.0
binary,DT,PGD-20-SNN,transfer,BBA,0.05,0.9069706498951782,0.9079533542976939,-0.0009827044025157161,0.033674004192872115,0.6704009433962264,0.6367269392033543,0.9454832556465494,0.25637160012943605,0.9454832556465494,0.25637160012943605,0.8888233752620545,0.890788784067086,716.0
binary,DT,PGD-20-SNN,transfer,BBA,0.1,0.9069706498951782,0.9079533542976939,-0.0009827044025157161,0.0037342767295597485,0.6745283018867925,0.6707940251572327,0.9945438373060581,0.24053497372616373,0.9945438373060581,0.24053497372616373,0.8888233752620545,0.890788784067086,716.0
binary,DT,PGD-20-SNN,transfer,BBA,0.2,0.9069706498951782,0.9079533542976939,-0.0009827044025157161,0.0015723270440251573,0.6411818658280922,0.639609538784067,0.9979308495406674,0.2866139324699965,0.9979308495406674,0.2866139324699965,0.8888233752620545,0.890788784067086,716.0
binary,DT,PGD-20-SNN,transfer,BBA,0.3,0.9069706498951782,0.9079533542976939,-0.0009827044025157161,0.0005241090146750524,0.6375131027253669,0.6369889937106918,0.9994529442413156,0.291420780729996,0.9994529442413156,0.291420780729996,0.8888233752620545,0.890788784067086,716.0
binary,DT,PGD-20-SNN,transfer,DBA-style,0.05,0.9069706498951782,0.9079533542976939,-0.0009827044025157161,0.1836346960167715,0.8242924528301887,0.6406577568134172,0.7223916902826452,0.05274330040011659,0.7223916902826452,0.05274330040011659,0.8888233752620545,0.890788784067086,716.0
binary,DT,PGD-20-SNN,transfer,DBA-style,0.1,0.9069706498951782,0.9079533542976939,-0.0009827044025157161,0.15349842767295596,0.8216719077568134,0.6681734800838575,0.7678770920504927,0.05511238727966332,0.7678770920504927,0.05511238727966332,0.8888233752620545,0.890788784067086,716.0
binary,DT,PGD-20-SNN,transfer,DBA-style,0.2,0.9069706498951782,0.9079533542976939,-0.0009827044025157161,0.1228380503144654,0.8286818658280922,0.7058438155136268,0.8122338047986879,0.05349654355125501,0.8122338047986879,0.05349654355125501,0.8888233752620545,0.890788784067086,716.0
binary,DT,PGD-20-SNN,transfer,DBA-style,0.3,0.9069706498951782,0.9079533542976939,-0.0009827044025157161,0.11661425576519915,0.832940251572327,0.7163259958071279,0.8181624603021469,0.05423910555675465,0.8181624603021469,0.05423910555675465,0.8888233752620545,0.890788784067086,716.0
binary,DT,PGD-20-SNN,transfer,FGSM-SNN,0.05,0.9069706498951782,0.9079533542976939,-0.0009827044025157161,0.3567872117400419,0.7534722222222222,0.3966850104821803,0.6277195287890064,0.2194830089947607,0.6277195287890064,0.2194830089947607,0.8888233752620545,0.890788784067086,716.0
binary,DT,PGD-20-SNN,transfer,FGSM-SNN,0.1,0.9069706498951782,0.9079533542976939,-0.0009827044025157161,0.2684748427672956,0.8030660377358491,0.5345911949685535,0.761255604602506,0.14632505676412597,0.761255604602506,0.14632505676412597,0.8888233752620545,0.890788784067086,716.0
binary,DT,PGD-20-SNN,transfer,FGSM-SNN,0.2,0.9069706498951782,0.9079533542976939,-0.0009827044025157161,0.34499475890985326,0.8131551362683438,0.4681603773584906,0.6485556543144942,0.12632824633185827,0.6485556543144942,0.12632824633185827,0.8888233752620545,0.890788784067086,716.0
binary,DT,PGD-20-SNN,transfer,FGSM-SNN,0.3,0.9069706498951782,0.9079533542976939,-0.0009827044025157161,0.35534591194968557,0.9624606918238994,0.6071147798742138,0.6291839953290888,0.017007135853331884,0.6291839953290888,0.017007135853331884,0.8888233752620545,0.890788784067086,716.0
binary,DT,PGD-20-SNN,transfer,PGD-10-SNN,0.05,0.9069706498951782,0.9079533542976939,-0.0009827044025157161,0.33811582809224316,0.7961871069182389,0.4580712788259958,0.6040663438023519,0.16980168518247465,0.6040663438023519,0.16980168518247465,0.8888233752620545,0.890788784067086,716.0
binary,DT,PGD-20-SNN,transfer,PGD-10-SNN,0.1,0.9069706498951782,0.9079533542976939,-0.0009827044025157161,0.2784329140461216,0.8810272536687631,0.6025943396226414,0.7209079158700937,0.05212670174370848,0.7209079158700937,0.05212670174370848,0.8888233752620545,0.890788784067086,716.0
binary,DT,PGD-20-SNN,transfer,PGD-10-SNN,0.2,0.9069706498951782,0.9079533542976939,-0.0009827044025157161,0.37801362683438156,0.9041535639412999,0.5261399371069183,0.5653156446102262,0.015357821838386186,0.5653156446102262,0.015357821838386186,0.8888233752620545,0.890788784067086,716.0
binary,DT,PGD-20-SNN,transfer,PGD-10-SNN,0.3,0.9069706498951782,0.9079533542976939,-0.0009827044025157161,0.458791928721174,0.9977070230607966,0.5389150943396227,0.4942651457720968,0.0023832907992982497,0.4942651457720968,0.0023832907992982497,0.8888233752620545,0.890788784067086,716.0
binary,DT,PGD-20-SNN,transfer,PGD-20-SNN,0.05,0.9069706498951782,0.9079533542976939,-0.0009827044025157161,0.3380503144654088,0.7901598532494759,0.45210953878406707,0.6112579733764782,0.18235160826830255,0.6112579733764782,0.18235160826830255,0.8888233752620545,0.890788784067086,716.0
binary,DT,PGD-20-SNN,transfer,PGD-20-SNN,0.1,0.9069706498951782,0.9079533542976939,-0.0009827044025157161,0.2758778825995807,0.8733621593291405,0.5974842767295597,0.7290180145622442,0.06404715570255198,0.7290180145622442,0.06404715570255198,0.8888233752620545,0.890788784067086,716.0
binary,DT,PGD-20-SNN,transfer,PGD-20-SNN,0.2,0.9069706498951782,0.9079533542976939,-0.0009827044025157161,0.366417714884696,0.8992400419287212,0.5328223270440251,0.582977935043689,0.023431264617705037,0.582977935043689,0.023431264617705037,0.8888233752620545,0.890788784067086,716.0
