task,fold,model,defense,evaluation_mode,attack,epsilon,base_clean_acc,base_clean_f1,defended_clean_acc,defended_clean_f1,clean_acc_drop,base_snn_agreement,defended_snn_agreement,train_epsilon,augmented_train_samples,num_classes,num_features,base_adv_acc,base_adv_f1,base_asr,base_evasion_asr,defended_adv_acc,defended_adv_f1,defended_asr,defended_evasion_asr,robustness_improvement,attack_reference_adv_acc,attack_reference_asr,attack_reference_evasion_asr,steps,alpha_factor,alpha,max_attempts,top_k,perturb_features,max_features
binary,1,DT,PGD-20-SNN,transfer,DBA-style,0.05,0.875,0.8754490231880946,0.8794549266247379,0.8805174978936265,-0.004454926624737898,0.9080188679245284,0.914308176100629,0.3,22896,2,716,0.29952830188679247,0.3145639842353369,0.6491464510332435,0.6491464510332435,0.8734276729559748,0.8745003888588383,0.007276034561164165,0.007276034561164165,0.5738993710691823,0.29952830188679247,0.6491464510332435,0.6491464510332435,,,,,,,105.0
binary,1,DT,PGD-20-SNN,transfer,FGSM-SNN,0.1,0.875,0.8754490231880946,0.8794549266247379,0.8805174978936265,-0.004454926624737898,0.9080188679245284,0.914308176100629,0.3,22896,2,716,0.6574947589098532,0.6589415865371303,0.22551662174303683,0.22551662174303683,0.8870545073375262,0.8812051246176367,0.004092769440654843,0.004092769440654843,0.22955974842767302,0.6574947589098532,0.22551662174303683,0.22551662174303683,,,,,,,
binary,1,DT,PGD-20-SNN,transfer,PGD-10-SNN,0.1,0.875,0.8754490231880946,0.8794549266247379,0.8805174978936265,-0.004454926624737898,0.9080188679245284,0.914308176100629,0.3,22896,2,716,0.609538784067086,0.6063353884142174,0.24663072776280323,0.24663072776280323,0.7929769392033543,0.7644398492050887,0.0031832651205093224,0.0031832651205093224,0.18343815513626838,0.609538784067086,0.24663072776280323,0.24663072776280323,10.0,3.0,0.03333333333333333,,,,
binary,1,DT,PGD-20-SNN,transfer,PGD-20-SNN,0.1,0.875,0.8754490231880946,0.8794549266247379,0.8805174978936265,-0.004454926624737898,0.9080188679245284,0.914308176100629,0.3,22896,2,716,0.6027253668763103,0.5992178115381643,0.25202156334231807,0.25202156334231807,0.7872117400419287,0.7567214922888116,0.004092769440654843,0.004092769440654843,0.18448637316561844,0.6027253668763103,0.25202156334231807,0.25202156334231807,20.0,9.5,0.010526315789473684,,,,
binary,1,DT,PGD-20-SNN,transfer,BBA,0.1,0.875,0.8754490231880946,0.8794549266247379,0.8805174978936265,-0.004454926624737898,0.9080188679245284,0.914308176100629,0.3,22896,2,716,0.08831236897274633,0.10572817205212973,0.848607367475292,0.848607367475292,0.7969077568134172,0.7940240675199737,0.03956343792633015,0.03956343792633015,0.7085953878406709,0.08831236897274633,0.848607367475292,0.848607367475292,,,,80.0,160.0,115.0,
binary,1,DT,PGD-20-SNN,transfer,DBA-style,0.1,0.875,0.8754490231880946,0.8794549266247379,0.8805174978936265,-0.004454926624737898,0.9080188679245284,0.914308176100629,0.3,22896,2,716,0.26022012578616355,0.2730228040376781,0.7120395327942498,0.7120395327942498,0.8545597484276729,0.8563789755141297,0.03819918144611187,0.03819918144611187,0.5943396226415094,0.26022012578616355,0.7120395327942498,0.7120395327942498,,,,,,,105.0
binary,1,DT,PGD-20-SNN,transfer,FGSM-SNN,0.2,0.875,0.8754490231880946,0.8794549266247379,0.8805174978936265,-0.004454926624737898,0.9080188679245284,0.914308176100629,0.3,22896,2,716,0.54979035639413,0.5602834267410894,0.4137466307277628,0.4137466307277628,0.8891509433962265,0.883135615278429,0.00045475216007276033,0.00045475216007276033,0.3393605870020965,0.54979035639413,0.4137466307277628,0.4137466307277628,,,,,,,
binary,1,DT,PGD-20-SNN,transfer,PGD-10-SNN,0.2,0.875,0.8754490231880946,0.8794549266247379,0.8805174978936265,-0.004454926624737898,0.9080188679245284,0.914308176100629,0.3,22896,2,716,0.5859538784067087,0.5953823376121906,0.37690925426774485,0.37690925426774485,0.8731656184486373,0.8648352215079084,0.001364256480218281,0.001364256480218281,0.2872117400419286,0.5859538784067087,0.37690925426774485,0.37690925426774485,10.0,3.0,0.06666666666666667,,,,
binary,1,DT,PGD-20-SNN,transfer,PGD-20-SNN,0.2,0.875,0.8754490231880946,0.8794549266247379,0.8805174978936265,-0.004454926624737898,0.9080188679245284,0.914308176100629,0.3,22896,2,716,0.5634171907756813,0.5723483838628018,0.3746630727762803,0.3746630727762803,0.8493186582809225,0.8364187953893912,0.00045475216007276033,0.00045475216007276033,0.28590146750524115,0.5634171907756813,0.3746630727762803,0.3746630727762803,20.0,9.5,0.021052631578947368,,,,
binary,1,DT,PGD-20-SNN,transfer,BBA,0.2,0.875,0.8754490231880946,0.8794549266247379,0.8805174978936265,-0.004454926624737898,0.9080188679245284,0.914308176100629,0.3,22896,2,716,0.07049266247379454,0.0857991475690836,0.8791554357592093,0.8791554357592093,0.7882599580712788,0.7841705347714527,0.041837198726693954,0.041837198726693954,0.7177672955974843,0.07049266247379454,0.8791554357592093,0.8791554357592093,,,,80.0,160.0,115.0,
binary,1,DT,PGD-20-SNN,transfer,DBA-style,0.2,0.875,0.8754490231880946,0.8794549266247379,0.8805174978936265,-0.004454926624737898,0.9080188679245284,0.914308176100629,0.3,22896,2,716,0.18553459119496854,0.19676269076141442,0.793351302785265,0.793351302785265,0.7832809224318659,0.7880368945457666,0.1559799909049568,0.1559799909049568,0.5977463312368974,0.18553459119496854,0.793351302785265,0.793351302785265,,,,,,,105.0
binary,1,DT,PGD-20-SNN,transfer,FGSM-SNN,0.3,0.875,0.8754490231880946,0.8794549266247379,0.8805174978936265,-0.004454926624737898,0.9080188679245284,0.914308176100629,0.3,22896,2,716,0.37945492662473795,0.38172169068330164,0.6886792452830188,0.6886792452830188,0.9984276729559748,0.9984282203997817,0.00045475216007276033,0.00045475216007276033,0.6189727463312369,0.37945492662473795,0.6886792452830188,0.6886792452830188,,,,,,,
binary,1,DT,PGD-20-SNN,transfer,PGD-10-SNN,0.3,0.875,0.8754490231880946,0.8794549266247379,0.8805174978936265,-0.004454926624737898,0.9080188679245284,0.914308176100629,0.3,22896,2,716,0.5796645702306079,0.5887500975067721,0.3688230008984726,0.3688230008984726,0.9976415094339622,0.9976433474412192,0.004092769440654843,0.004092769440654843,0.4179769392033543,0.5796645702306079,0.3688230008984726,0.3688230008984726,10.0,3.0,0.09999999999999999,,,,
