task,fold,model,attack,epsilon,target_label,clean_acc,clean_f1,adv_acc,adv_f1,acc_drop,targeted_evasion_asr,snn_agreement,num_classes,num_features,num_targetable,steps,alpha_factor,alpha,max_attempts,top_k,perturb_features,max_features
multi_targeted_non_malicious,3,DT,PGD-10-SNN-targeted-benign,0.3,3,0.89937106918239,0.8994570668116937,0.4648846960167715,0.4075147352609805,0.43448637316561844,0.28584189370254576,0.8372641509433962,6,4398,2239,10.0,3.0,0.1,,,,
multi_targeted_non_malicious,3,DT,PGD-20-SNN-targeted-benign,0.3,3,0.89937106918239,0.8994570668116937,0.4730083857442348,0.41791466438856983,0.42636268343815514,0.2429656096471639,0.8372641509433962,6,4398,2239,20.0,9.5,0.031578947368421054,,,,
multi_targeted_non_malicious,3,DT,BBA-targeted-benign,0.3,3,0.89937106918239,0.8994570668116937,0.31341719077568136,0.17018107413171257,0.5859538784067087,0.9986601161232693,0.8372641509433962,6,4398,2239,,,,80.0,160.0,115.0,
multi_targeted_non_malicious,3,DT,DBA-style-targeted-benign,0.3,3,0.89937106918239,0.8994570668116937,0.5961740041928721,0.5809717054202611,0.3031970649895178,0.5167485484591335,0.8372641509433962,6,4398,2239,,,,,,,105.0
multi_targeted_non_malicious,3,XGBoost,FGSM-SNN-targeted-benign,0.05,3,0.95020964360587,0.9501737327252303,0.5877882599580713,0.5194234665434544,0.36242138364779874,0.2699490662139219,0.8618972746331237,6,4398,2356,,,,,,,
multi_targeted_non_malicious,3,XGBoost,PGD-10-SNN-targeted-benign,0.05,3,0.95020964360587,0.9501737327252303,0.5670859538784067,0.49439470286451004,0.38312368972746336,0.399830220713073,0.8618972746331237,6,4398,2356,10.0,8.0,0.0375,,,,
multi_targeted_non_malicious,3,XGBoost,PGD-20-SNN-targeted-benign,0.05,3,0.95020964360587,0.9501737327252303,0.5605345911949685,0.4829991199782933,0.3896750524109015,0.416383701188455,0.8618972746331237,6,4398,2356,20.0,15.5,0.01935483870967742,,,,
multi_targeted_non_malicious,3,XGBoost,BBA-targeted-benign,0.05,3,0.95020964360587,0.9501737327252303,0.7937631027253669,0.7929091119853098,0.15644654088050314,0.2533955857385399,0.8618972746331237,6,4398,2356,,,,170.0,170.0,165.0,
multi_targeted_non_malicious,3,XGBoost,DBA-style-targeted-benign,0.05,3,0.95020964360587,0.9501737327252303,0.9266247379454927,0.926874580628664,0.023584905660377298,0.038200339558573854,0.8618972746331237,6,4398,2356,,,,,,,160.0
multi_targeted_non_malicious,3,XGBoost,FGSM-SNN-targeted-benign,0.1,3,0.95020964360587,0.9501737327252303,0.565251572327044,0.48734660546201125,0.384958071278826,0.27461799660441427,0.8618972746331237,6,4398,2356,,,,,,,
