task,fold,model,attack,epsilon,target_label,clean_acc,clean_f1,adv_acc,adv_f1,acc_drop,targeted_evasion_asr,snn_agreement,num_classes,num_features,num_targetable,steps,alpha_factor,alpha,max_attempts,top_k,perturb_features,max_features,time_window
multi_targeted_non_malicious,2,DT,DBA-style-targeted-benign,0.05,3,0.8482704402515723,0.8481066678295911,0.4378930817610063,0.3855840992929948,0.410377358490566,0.7362482369534555,0.8456498951781971,6,716,2127,,,,,,,105.0, (14.0days)
multi_targeted_non_malicious,2,DT,FGSM-SNN-targeted-benign,0.1,3,0.8482704402515723,0.8481066678295911,0.5207023060796646,0.4848581298429235,0.32756813417190767,0.07099200752233192,0.8456498951781971,6,716,2127,,,,,,,, (14.0days)
multi_targeted_non_malicious,2,DT,PGD-10-SNN-targeted-benign,0.1,3,0.8482704402515723,0.8481066678295911,0.5683962264150944,0.532285769780733,0.2798742138364779,0.1147155618241655,0.8456498951781971,6,716,2127,10.0,3.0,0.1,,,,, (14.0days)
multi_targeted_non_malicious,2,DT,PGD-20-SNN-targeted-benign,0.1,3,0.8482704402515723,0.8481066678295911,0.5613207547169812,0.5219545495306245,0.2869496855345911,0.10672308415608839,0.8456498951781971,6,716,2127,20.0,9.5,0.031578947368421054,,,,, (14.0days)
multi_targeted_non_malicious,2,DT,BBA-targeted-benign,0.1,3,0.8482704402515723,0.8481066678295911,0.2950733752620545,0.16753031896085332,0.5531970649895177,0.9924776680771039,0.8456498951781971,6,716,2127,,,,80.0,160.0,115.0,, (14.0days)
multi_targeted_non_malicious,2,DT,DBA-style-targeted-benign,0.1,3,0.8482704402515723,0.8481066678295911,0.4143081761006289,0.3538461954338247,0.43396226415094336,0.7785613540197461,0.8456498951781971,6,716,2127,,,,,,,105.0, (14.0days)
multi_targeted_non_malicious,2,DT,FGSM-SNN-targeted-benign,0.2,3,0.8482704402515723,0.8481066678295911,0.4973794549266247,0.45130421304348006,0.35089098532494756,0.08274565115185707,0.8456498951781971,6,716,2127,,,,,,,, (14.0days)
multi_targeted_non_malicious,2,DT,PGD-10-SNN-targeted-benign,0.2,3,0.8482704402515723,0.8481066678295911,0.5387840670859538,0.502800621299414,0.30948637316561844,0.12458862247296662,0.8456498951781971,6,716,2127,10.0,3.0,0.1,,,,, (14.0days)
multi_targeted_non_malicious,2,DT,PGD-20-SNN-targeted-benign,0.2,3,0.8482704402515723,0.8481066678295911,0.5382599580712788,0.5016471567726322,0.3100104821802935,0.10202162670427832,0.8456498951781971,6,716,2127,20.0,9.5,0.031578947368421054,,,,, (14.0days)
multi_targeted_non_malicious,2,DT,BBA-targeted-benign,0.2,3,0.8482704402515723,0.8481066678295911,0.2914046121593291,0.16066147123094027,0.5568658280922432,0.999059708509638,0.8456498951781971,6,716,2127,,,,80.0,160.0,115.0,, (14.0days)
multi_targeted_non_malicious,2,DT,DBA-style-targeted-benign,0.2,3,0.8482704402515723,0.8481066678295911,0.3980607966457023,0.3279898779259675,0.45020964360586996,0.8077103902209685,0.8456498951781971,6,716,2127,,,,,,,105.0, (14.0days)
multi_targeted_non_malicious,2,DT,FGSM-SNN-targeted-benign,0.3,3,0.8482704402515723,0.8481066678295911,0.47929769392033544,0.44277072557889174,0.36897274633123683,0.076163610719323,0.8456498951781971,6,716,2127,,,,,,,, (14.0days)
multi_targeted_non_malicious,2,DT,PGD-10-SNN-targeted-benign,0.3,3,0.8482704402515723,0.8481066678295911,0.5458595387840671,0.5145059243130088,0.30241090146750516,0.08556652562294312,0.8456498951781971,6,716,2127,10.0,3.0,0.1,,,,, (14.0days)
multi_targeted_non_malicious,2,DT,PGD-20-SNN-targeted-benign,0.3,3,0.8482704402515723,0.8481066678295911,0.55083857442348,0.5228662849164559,0.2974318658280922,0.05500705218617771,0.8456498951781971,6,716,2127,20.0,9.5,0.031578947368421054,,,,, (14.0days)
multi_targeted_non_malicious,2,DT,BBA-targeted-benign,0.3,3,0.8482704402515723,0.8481066678295911,0.2908805031446541,0.15960027606534238,0.5573899371069182,1.0,0.8456498951781971,6,716,2127,,,,80.0,160.0,115.0,, (14.0days)
multi_targeted_non_malicious,2,DT,DBA-style-targeted-benign,0.3,3,0.8482704402515723,0.8481066678295911,0.39753668763102723,0.3271368951948008,0.45073375262054505,0.8086506817113305,0.8456498951781971,6,716,2127,,,,,,,105.0, (14.0days)
multi_targeted_non_malicious,2,XGBoost,FGSM-SNN-targeted-benign,0.05,3,0.8933438155136268,0.8929056239655396,0.5835953878406709,0.5283017512128252,0.30974842767295596,0.1456179775280899,0.8697589098532494,6,716,2225,,,,,,,, (14.0days)
multi_targeted_non_malicious,2,XGBoost,PGD-10-SNN-targeted-benign,0.05,3,0.8933438155136268,0.8929056239655396,0.5974842767295597,0.5472763015479066,0.2958595387840671,0.1550561797752809,0.8697589098532494,6,716,2225,10.0,8.0,0.0375,,,,, (14.0days)
multi_targeted_non_malicious,2,XGBoost,PGD-20-SNN-targeted-benign,0.05,3,0.8933438155136268,0.8929056239655396,0.5888364779874213,0.5310946118983867,0.3045073375262055,0.14292134831460673,0.8697589098532494,6,716,2225,20.0,15.5,0.01935483870967742,,,,, (14.0days)
multi_targeted_non_malicious,2,XGBoost,BBA-targeted-benign,0.05,3,0.8933438155136268,0.8929056239655396,0.5288259958071279,0.5049364799843769,0.364517819706499,0.6251685393258427,0.8697589098532494,6,716,2225,,,,170.0,170.0,165.0,, (14.0days)
multi_targeted_non_malicious,2,XGBoost,DBA-style-targeted-benign,0.05,3,0.8933438155136268,0.8929056239655396,0.7832809224318659,0.7799482935707711,0.11006289308176098,0.18876404494382024,0.8697589098532494,6,716,2225,,,,,,,160.0, (14.0days)
multi_targeted_non_malicious,2,XGBoost,FGSM-SNN-targeted-benign,0.1,3,0.8933438155136268,0.8929056239655396,0.570230607966457,0.4808713249974521,0.3231132075471699,0.24314606741573033,0.8697589098532494,6,716,2225,,,,,,,, (14.0days)
multi_targeted_non_malicious,2,XGBoost,PGD-10-SNN-targeted-benign,0.1,3,0.8933438155136268,0.8929056239655396,0.5765199161425576,0.4964585636411934,0.31682389937106925,0.22157303370786516,0.8697589098532494,6,716,2225,10.0,8.0,0.0375,,,,, (14.0days)
multi_targeted_non_malicious,2,XGBoost,PGD-20-SNN-targeted-benign,0.1,3,0.8933438155136268,0.8929056239655396,0.5791404612159329,0.4987874255507345,0.31420335429769397,0.22112359550561797,0.8697589098532494,6,716,2225,20.0,15.5,0.01935483870967742,,,,, (14.0days)
multi_targeted_non_malicious,2,XGBoost,BBA-targeted-benign,0.1,3,0.8933438155136268,0.8929056239655396,0.4300314465408805,0.36527742763052357,0.46331236897274636,0.7946067415730337,0.8697589098532494,6,716,2225,,,,170.0,170.0,165.0,, (14.0days)
multi_targeted_non_malicious,2,XGBoost,DBA-style-targeted-benign,0.1,3,0.8933438155136268,0.8929056239655396,0.7830188679245284,0.7798834638732178,0.1103249475890985,0.18921348314606742,0.8697589098532494,6,716,2225,,,,,,,160.0, (14.0days)
multi_targeted_non_malicious,2,XGBoost,FGSM-SNN-targeted-benign,0.2,3,0.8933438155136268,0.8929056239655396,0.5576519916142557,0.4732257369857668,0.33569182389937113,0.20629213483146067,0.8697589098532494,6,716,2225,,,,,,,, (14.0days)
multi_targeted_non_malicious,2,XGBoost,PGD-10-SNN-targeted-benign,0.2,3,0.8933438155136268,0.8929056239655396,0.5639412997903563,0.4984419854863868,0.3294025157232705,0.24674157303370786,0.8697589098532494,6,716,2225,10.0,8.0,0.0375,,,,, (14.0days)
multi_targeted_non_malicious,2,XGBoost,PGD-20-SNN-targeted-benign,0.2,3,0.8933438155136268,0.8929056239655396,0.5668238993710691,0.5075562108595941,0.3265199161425577,0.21617977528089888,0.8697589098532494,6,716,2225,20.0,15.5,0.01935483870967742,,,,, (14.0days)
multi_targeted_non_malicious,2,XGBoost,BBA-targeted-benign,0.2,3,0.8933438155136268,0.8929056239655396,0.3527253668763103,0.24353740225150886,0.5406184486373166,0.927191011235955,0.8697589098532494,6,716,2225,,,,170.0,170.0,165.0,, (14.0days)
multi_targeted_non_malicious,2,XGBoost,DBA-style-targeted-benign,0.2,3,0.8933438155136268,0.8929056239655396,0.7811844863731656,0.777861486714004,0.11215932914046123,0.19235955056179777,0.8697589098532494,6,716,2225,,,,,,,160.0, (14.0days)
multi_targeted_non_malicious,2,XGBoost,FGSM-SNN-targeted-benign,0.3,3,0.8933438155136268,0.8929056239655396,0.554769392033543,0.4813138851473306,0.3385744234800838,0.21932584269662922,0.8697589098532494,6,716,2225,,,,,,,, (14.0days)
