task,fold,model,attack,epsilon,clean_acc,clean_f1,adv_acc,adv_f1,acc_drop,asr,evasion_asr,snn_agreement,num_classes,num_features,steps,alpha_factor,alpha,max_attempts,top_k,perturb_features,max_features,time_window
binary,3,LightGBM,BBA,0.1,0.8888888888888888,0.8895697167755992,0.1580188679245283,0.17779357576844415,0.7308700209643606,0.7303220035778175,0.7303220035778175,0.9316037735849056,2,716,,,,200.0,130.0,120.0,, (3.0days)
binary,3,LightGBM,DBA-style,0.1,0.8888888888888888,0.8895697167755992,0.4779874213836478,0.42244202044025164,0.41090146750524104,0.18604651162790697,0.18604651162790697,0.9316037735849056,2,716,,,,,,,35.0, (3.0days)
binary,3,LightGBM,FGSM-SNN,0.2,0.8888888888888888,0.8895697167755992,0.16928721174004194,0.18864869777022894,0.7196016771488469,0.7620751341681574,0.7620751341681574,0.9316037735849056,2,716,,,,,,,, (3.0days)
binary,3,LightGBM,PGD-10-SNN,0.2,0.8888888888888888,0.8895697167755992,0.5332809224318659,0.4531657402719598,0.355607966457023,0.2016994633273703,0.2016994633273703,0.9316037735849056,2,716,10.0,3.0,0.1,,,,, (3.0days)
binary,3,LightGBM,PGD-20-SNN,0.2,0.8888888888888888,0.8895697167755992,0.5193920335429769,0.44539792872985196,0.3694968553459119,0.2240608228980322,0.2240608228980322,0.9316037735849056,2,716,20.0,17.0,0.01764705882352941,,,,, (3.0days)
binary,3,LightGBM,BBA,0.2,0.8888888888888888,0.8895697167755992,0.05529350104821803,0.06826900601235163,0.8335953878406708,0.9056350626118068,0.9056350626118068,0.9316037735849056,2,716,,,,200.0,130.0,120.0,, (3.0days)
binary,3,LightGBM,DBA-style,0.2,0.8888888888888888,0.8895697167755992,0.4758909853249476,0.4211820036624097,0.4129979035639412,0.18962432915921287,0.18962432915921287,0.9316037735849056,2,716,,,,,,,35.0, (3.0days)
binary,3,LightGBM,FGSM-SNN,0.3,0.8888888888888888,0.8895697167755992,0.12185534591194969,0.141493671115941,0.7670335429769392,0.8398926654740608,0.8398926654740608,0.9316037735849056,2,716,,,,,,,, (3.0days)
binary,3,LightGBM,PGD-10-SNN,0.3,0.8888888888888888,0.8895697167755992,0.589622641509434,0.48328449943701046,0.29926624737945484,0.10465116279069768,0.10465116279069768,0.9316037735849056,2,716,10.0,3.0,0.1,,,,, (3.0days)
binary,3,LightGBM,PGD-20-SNN,0.3,0.8888888888888888,0.8895697167755992,0.49659329140461217,0.43233441513985843,0.39229559748427667,0.25983899821109124,0.25983899821109124,0.9316037735849056,2,716,20.0,17.0,0.01764705882352941,,,,, (3.0days)
binary,3,LightGBM,BBA,0.3,0.8888888888888888,0.8895697167755992,0.01939203354297694,0.024785910225110886,0.8694968553459119,0.9669051878354203,0.9669051878354203,0.9316037735849056,2,716,,,,200.0,130.0,120.0,, (3.0days)
binary,3,LightGBM,DBA-style,0.3,0.8888888888888888,0.8895697167755992,0.475104821802935,0.42070858817001355,0.41378406708595383,0.1909660107334526,0.1909660107334526,0.9316037735849056,2,716,,,,,,,35.0, (3.0days)
binary,4,RF,FGSM-SNN,0.05,0.8839098532494759,0.8837342908020005,0.5455974842767296,0.4626029737884902,0.3383123689727463,0.15662120545534536,0.15662120545534536,0.9017295597484277,2,716,,,,,,,, (3.0days)
binary,4,RF,PGD-10-SNN,0.05,0.8839098532494759,0.8837342908020005,0.5660377358490566,0.4744932615980966,0.3178721174004193,0.1350637923449186,0.1350637923449186,0.9017295597484277,2,716,10.0,10.0,0.03,,,,, (3.0days)
binary,4,RF,PGD-20-SNN,0.05,0.8839098532494759,0.8837342908020005,0.5681341719077568,0.47527700276964235,0.31577568134171907,0.13110426748790144,0.13110426748790144,0.9017295597484277,2,716,20.0,19.0,0.015789473684210527,,,,, (3.0days)
binary,4,RF,BBA,0.05,0.8839098532494759,0.8837342908020005,0.47458071278826,0.4209155453917014,0.40932914046121593,0.20589529256489222,0.20589529256489222,0.9017295597484277,2,716,,,,170.0,280.0,200.0,, (3.0days)
binary,4,RF,DBA-style,0.05,0.8839098532494759,0.8837342908020005,0.8317610062893082,0.8308228017994944,0.05214884696016775,0.0343158820941487,0.0343158820941487,0.9017295597484277,2,716,,,,,,,175.0, (3.0days)
binary,4,RF,FGSM-SNN,0.1,0.8839098532494759,0.8837342908020005,0.5078616352201258,0.45087590485636386,0.37604821802935007,0.24285085789705235,0.24285085789705235,0.9017295597484277,2,716,,,,,,,, (3.0days)
binary,4,RF,PGD-10-SNN,0.1,0.8839098532494759,0.8837342908020005,0.5372117400419287,0.4694714737183068,0.3466981132075472,0.20589529256489222,0.20589529256489222,0.9017295597484277,2,716,10.0,10.0,0.03,,,,, (3.0days)
binary,4,RF,PGD-20-SNN,0.1,0.8839098532494759,0.8837342908020005,0.5364255765199162,0.46957347294394775,0.3474842767295597,0.2089749230092389,0.2089749230092389,0.9017295597484277,2,716,20.0,19.0,0.015789473684210527,,,,, (3.0days)
