task,model,attack,epsilon,clean_acc,clean_f1,adv_acc,adv_f1,acc_drop,asr,evasion_asr,snn_agreement,num_features,time_window
binary,RF,PGD-20-SNN,0.3,0.8561320754716981,0.8561803401977035,0.40297431865828093,0.3878174330985199,0.4531577568134172,0.4139544341863521,0.4139544341863521,0.858359538784067,716.0, (1hours)
binary,XGBoost,BBA,0.05,0.8684486373165619,0.869032215403055,0.1960167714884696,0.2131609146389804,0.6724318658280922,0.6611819870172362,0.6611819870172362,0.8719863731656184,716.0, (1hours)
binary,XGBoost,BBA,0.1,0.8684486373165619,0.869032215403055,0.0422562893081761,0.05184090827299607,0.8261923480083857,0.9271506085698311,0.9271506085698311,0.8719863731656184,716.0, (1hours)
binary,XGBoost,BBA,0.2,0.8684486373165619,0.869032215403055,0.01565775681341719,0.019917156455349826,0.8527908805031447,0.9730085825484941,0.9730085825484941,0.8719863731656184,716.0, (1hours)
binary,XGBoost,BBA,0.3,0.8684486373165619,0.869032215403055,0.009433962264150945,0.012133405109835425,0.8590146750524108,0.9837330034445332,0.9837330034445332,0.8719863731656184,716.0, (1hours)
binary,XGBoost,DBA-style,0.05,0.8684486373165619,0.869032215403055,0.44195492662473795,0.4320655972052792,0.4264937106918239,0.3200157402298809,0.3200157402298809,0.8719863731656184,716.0, (1hours)
binary,XGBoost,DBA-style,0.1,0.8684486373165619,0.869032215403055,0.4039570230607966,0.38345242790979783,0.4644916142557652,0.322394788689666,0.322394788689666,0.8719863731656184,716.0, (1hours)
binary,XGBoost,DBA-style,0.2,0.8684486373165619,0.869032215403055,0.4005503144654088,0.38030440287370515,0.467898322851153,0.326248267513434,0.326248267513434,0.8719863731656184,716.0, (1hours)
binary,XGBoost,DBA-style,0.3,0.8684486373165619,0.869032215403055,0.40041928721174,0.3801639800886259,0.46802935010482183,0.32636215604096774,0.32636215604096774,0.8719863731656184,716.0, (1hours)
binary,XGBoost,FGSM-SNN,0.05,0.8684486373165619,0.869032215403055,0.4691430817610063,0.45043588048873173,0.3993055555555555,0.37094670659576134,0.37094670659576134,0.8719863731656184,716.0, (1hours)
binary,XGBoost,FGSM-SNN,0.1,0.8684486373165619,0.869032215403055,0.4202044025157233,0.40089342910364206,0.4482442348008385,0.41973164005465136,0.41973164005465136,0.8719863731656184,716.0, (1hours)
binary,XGBoost,FGSM-SNN,0.2,0.8684486373165619,0.869032215403055,0.4537473794549266,0.40620878224027385,0.4147012578616352,0.3378767894448113,0.3378767894448113,0.8719863731656184,716.0, (1hours)
binary,XGBoost,FGSM-SNN,0.3,0.8684486373165619,0.869032215403055,0.4617400419287212,0.4105387961850363,0.40670859538784065,0.3236670699481708,0.3236670699481708,0.8719863731656184,716.0, (1hours)
binary,XGBoost,PGD-10-SNN,0.05,0.8684486373165619,0.869032215403055,0.45322327044025157,0.42965901970801257,0.4152253668763103,0.35798784659031374,0.35798784659031374,0.8719863731656184,716.0, (1hours)
binary,XGBoost,PGD-10-SNN,0.1,0.8684486373165619,0.869032215403055,0.4200733752620545,0.39451602629711024,0.4483752620545073,0.4022918477817252,0.4022918477817252,0.8719863731656184,716.0, (1hours)
binary,XGBoost,PGD-10-SNN,0.2,0.8684486373165619,0.869032215403055,0.47962526205450734,0.42225022008975566,0.38882337526205446,0.29278381635405615,0.29278381635405615,0.8719863731656184,716.0, (1hours)
binary,XGBoost,PGD-10-SNN,0.3,0.8684486373165619,0.869032215403055,0.4669156184486373,0.41472855382671203,0.4015330188679245,0.3134612160617093,0.3134612160617093,0.8719863731656184,716.0, (1hours)
binary,XGBoost,PGD-20-SNN,0.05,0.8684486373165619,0.869032215403055,0.45237159329140464,0.4290611715151357,0.4160770440251572,0.3595719807445216,0.3595719807445216,0.8719863731656184,716.0, (1hours)
binary,XGBoost,PGD-20-SNN,0.1,0.8684486373165619,0.869032215403055,0.42000786163522014,0.39478747394647784,0.44844077568134166,0.4028583562212895,0.4028583562212895,0.8719863731656184,716.0, (1hours)
binary,XGBoost,PGD-20-SNN,0.2,0.8684486373165619,0.869032215403055,0.48224580712788256,0.4236283102592583,0.38620283018867924,0.28814846387036075,0.28814846387036075,0.8719863731656184,716.0, (1hours)
binary,XGBoost,PGD-20-SNN,0.3,0.8684486373165619,0.869032215403055,0.47202568134171907,0.41761765967264813,0.3964229559748428,0.30520855749207115,0.30520855749207115,0.8719863731656184,716.0, (1hours)
multi,DT,BBA,0.05,0.8265199161425576,0.8259515623235941,0.05090408805031446,0.049498883783871135,0.7756158280922432,0.9070630159656417,0.36256229452030364,0.8199030398322851,716.0, (1hours)
multi,DT,BBA,0.1,0.8265199161425576,0.8259515623235941,0.047038784067085955,0.04485136809790864,0.7794811320754716,0.9126548957703444,0.3862026190313623,0.8199030398322851,716.0, (1hours)
multi,DT,BBA,0.2,0.8265199161425576,0.8259515623235941,0.00805817610062893,0.007102015282338943,0.8184617400419287,0.9846613310597307,0.3781398514405834,0.8199030398322851,716.0, (1hours)
multi,DT,BBA,0.3,0.8265199161425576,0.8259515623235941,0.0076650943396226415,0.007353272691792013,0.818854821802935,0.9853984803189944,0.4296078034272648,0.8199030398322851,716.0, (1hours)
multi,DT,DBA-style,0.05,0.8265199161425576,0.8259515623235941,0.09296383647798742,0.08268493746619399,0.7335560796645701,0.8691833984284051,0.42719645086228536,0.8199030398322851,716.0, (1hours)
multi,DT,DBA-style,0.1,0.8265199161425576,0.8259515623235941,0.05142819706498952,0.04471633323441071,0.7750917190775681,0.9312857914240055,0.4466468802606157,0.8199030398322851,716.0, (1hours)
multi,DT,DBA-style,0.2,0.8265199161425576,0.8259515623235941,0.04435272536687631,0.03859177412278554,0.7821671907756813,0.9436564100476857,0.4467855407100249,0.8199030398322851,716.0, (1hours)
multi,DT,DBA-style,0.3,0.8265199161425576,0.8259515623235941,0.028563941299790358,0.023769036981075017,0.7979559748427674,0.9501550747700293,0.4491379551901787,0.8199030398322851,716.0, (1hours)
multi,DT,FGSM-SNN,0.05,0.8265199161425576,0.8259515623235941,0.3983883647798742,0.3905457351141397,0.42813155136268344,0.6271047782433866,0.2020366238125157,0.8199030398322851,716.0, (1hours)
multi,DT,FGSM-SNN,0.1,0.8265199161425576,0.8259515623235941,0.3523977987421384,0.3424273179017211,0.47412211740041926,0.653757081739524,0.2144155357265255,0.8199030398322851,716.0, (1hours)
multi,DT,FGSM-SNN,0.2,0.8265199161425576,0.8259515623235941,0.2786294549266247,0.25882341513965146,0.5478904612159329,0.6980658915484813,0.2543703760772343,0.8199030398322851,716.0, (1hours)
multi,DT,FGSM-SNN,0.3,0.8265199161425576,0.8259515623235941,0.29245283018867924,0.2886698169860903,0.5340670859538784,0.7044914927683567,0.24891019893386845,0.8199030398322851,716.0, (1hours)
multi,DT,PGD-10-SNN,0.05,0.8265199161425576,0.8259515623235941,0.4661294549266247,0.46531942582706476,0.36039046121593293,0.5730496733089425,0.1903060410315761,0.8199030398322851,716.0, (1hours)
multi,DT,PGD-10-SNN,0.1,0.8265199161425576,0.8259515623235941,0.41424266247379454,0.4120461259995075,0.4122772536687631,0.6072019657316121,0.2519525259270132,0.8199030398322851,716.0, (1hours)
multi,DT,PGD-10-SNN,0.2,0.8265199161425576,0.8259515623235941,0.36936582809224316,0.3424267649003693,0.45715408805031443,0.6143907036474091,0.2835633277851919,0.8199030398322851,716.0, (1hours)
multi,DT,PGD-10-SNN,0.3,0.8265199161425576,0.8259515623235941,0.3544287211740042,0.33895893190797227,0.47209119496855345,0.6334855242262779,0.26725904358389024,0.8199030398322851,716.0, (1hours)
multi,DT,PGD-20-SNN,0.05,0.8265199161425576,0.8259515623235941,0.46193658280922434,0.4597068957702245,0.3645833333333333,0.5733679104298469,0.19869247956346,0.8199030398322851,716.0, (1hours)
multi,DT,PGD-20-SNN,0.1,0.8265199161425576,0.8259515623235941,0.42059748427672955,0.4175174727763953,0.4059224318658281,0.5953242295286622,0.23924883523654805,0.8199030398322851,716.0, (1hours)
multi,DT,PGD-20-SNN,0.2,0.8265199161425576,0.8259515623235941,0.3739517819706499,0.3468150998575502,0.4525681341719078,0.6083803880318753,0.28018524179112214,0.8199030398322851,716.0, (1hours)
multi,DT,PGD-20-SNN,0.3,0.8265199161425576,0.8259515623235941,0.3603904612159329,0.34403202416140366,0.4661294549266247,0.6342542129377238,0.2821104432646296,0.8199030398322851,716.0, (1hours)
multi,LightGBM,BBA,0.05,0.8614386792452831,0.8613252358381287,0.010023584905660377,0.007056605640205046,0.8514150943396226,0.9826026770074439,0.3001796476686127,0.8383778825995807,716.0, (1hours)
multi,LightGBM,BBA,0.1,0.8614386792452831,0.8613252358381287,0.003079140461215933,0.0018636967796536571,0.8583595387840671,0.9945873500977894,0.44373650397592823,0.8383778825995807,716.0, (1hours)
