task,fold,model,attack,epsilon,target_label,clean_acc,clean_f1,adv_acc,adv_f1,acc_drop,targeted_evasion_asr,snn_agreement,num_classes,num_features,num_targetable,steps,alpha_factor,alpha,max_attempts,top_k,perturb_features,max_features,time_window
multi_targeted_non_malicious,3,LightGBM,FGSM-SNN-targeted-benign,0.3,3,0.8776205450733753,0.8773506467481682,0.5068134171907757,0.4436284839713472,0.3708071278825996,0.08104395604395605,0.8626834381551363,6,716,2184,,,,,,,, (1.0days)
multi_targeted_non_malicious,3,LightGBM,PGD-10-SNN-targeted-benign,0.3,3,0.8776205450733753,0.8773506467481682,0.5718029350104822,0.4881849557863969,0.3058176100628931,0.10943223443223443,0.8626834381551363,6,716,2184,10.0,3.0,0.1,,,,, (1.0days)
multi_targeted_non_malicious,3,LightGBM,PGD-20-SNN-targeted-benign,0.3,3,0.8776205450733753,0.8773506467481682,0.5568658280922432,0.4677241401161584,0.3207547169811321,0.15888278388278387,0.8626834381551363,6,716,2184,20.0,17.0,0.01764705882352941,,,,, (1.0days)
multi_targeted_non_malicious,3,LightGBM,BBA-targeted-benign,0.3,3,0.8776205450733753,0.8773506467481682,0.30922431865828093,0.1715582357717212,0.5683962264150944,0.9931318681318682,0.8626834381551363,6,716,2184,,,,200.0,130.0,120.0,, (1.0days)
multi_targeted_non_malicious,3,LightGBM,DBA-style-targeted-benign,0.3,3,0.8776205450733753,0.8773506467481682,0.6325995807127882,0.6143988138561265,0.24502096436058707,0.4281135531135531,0.8626834381551363,6,716,2184,,,,,,,35.0, (1.0days)
multi_targeted_non_malicious,4,RF,FGSM-SNN-targeted-benign,0.05,3,0.8663522012578616,0.8657602935931327,0.5925052410901468,0.5633260407511976,0.2738469601677148,0.208352455254704,0.8388364779874213,6,716,2179,,,,,,,, (1.0days)
multi_targeted_non_malicious,4,RF,PGD-10-SNN-targeted-benign,0.05,3,0.8663522012578616,0.8657602935931327,0.6142557651991615,0.5839919505863632,0.25209643605870014,0.23818265259293253,0.8388364779874213,6,716,2179,10.0,10.0,0.03,,,,, (1.0days)
multi_targeted_non_malicious,4,RF,PGD-20-SNN-targeted-benign,0.05,3,0.8663522012578616,0.8657602935931327,0.610587002096436,0.5795496517220786,0.2557651991614256,0.2372648003671409,0.8388364779874213,6,716,2179,20.0,19.0,0.015789473684210527,,,,, (1.0days)
multi_targeted_non_malicious,4,RF,BBA-targeted-benign,0.05,3,0.8663522012578616,0.8657602935931327,0.7568134171907757,0.751685203320173,0.10953878406708595,0.19183111519045434,0.8388364779874213,6,716,2179,,,,170.0,280.0,200.0,, (1.0days)
multi_targeted_non_malicious,4,RF,DBA-style-targeted-benign,0.05,3,0.8663522012578616,0.8657602935931327,0.8446016771488469,0.8436811425362921,0.02175052410901468,0.03809086737035337,0.8388364779874213,6,716,2179,,,,,,,175.0, (1.0days)
