task,fold,model,attack,epsilon,target_label,clean_acc,clean_f1,adv_acc,adv_f1,acc_drop,targeted_evasion_asr,snn_agreement,num_classes,num_features,num_targetable,steps,alpha_factor,alpha,max_attempts,top_k,perturb_features,max_features
multi_targeted_non_malicious,3,RF,BBA-targeted-benign,0.05,3,0.9064465408805031,0.9062351708580793,0.7680817610062893,0.7607788823925145,0.1383647798742138,0.23198594024604569,0.8776205450733753,6,716,2276,,,,170.0,280.0,200.0,
multi_targeted_non_malicious,3,RF,DBA-style-targeted-benign,0.05,3,0.9064465408805031,0.9062351708580793,0.889937106918239,0.8895914296183008,0.01650943396226412,0.027680140597539545,0.8776205450733753,6,716,2276,,,,,,,175.0
multi_targeted_non_malicious,3,RF,FGSM-SNN-targeted-benign,0.1,3,0.9064465408805031,0.9062351708580793,0.5733752620545073,0.47830652247020394,0.33307127882599585,0.4415641476274165,0.8776205450733753,6,716,2276,,,,,,,
multi_targeted_non_malicious,3,RF,PGD-10-SNN-targeted-benign,0.1,3,0.9064465408805031,0.9062351708580793,0.5469077568134172,0.455260683240973,0.35953878406708595,0.5065905096660809,0.8776205450733753,6,716,2276,10.0,10.0,0.03,,,,
multi_targeted_non_malicious,3,RF,PGD-20-SNN-targeted-benign,0.1,3,0.9064465408805031,0.9062351708580793,0.5466457023060797,0.4549388828648951,0.35980083857442346,0.5070298769771528,0.8776205450733753,6,716,2276,20.0,19.0,0.015789473684210527,,,,
multi_targeted_non_malicious,3,RF,BBA-targeted-benign,0.1,3,0.9064465408805031,0.9062351708580793,0.685796645702306,0.6816150066296204,0.2206498951781971,0.36994727592267135,0.8776205450733753,6,716,2276,,,,170.0,280.0,200.0,
multi_targeted_non_malicious,3,RF,DBA-style-targeted-benign,0.1,3,0.9064465408805031,0.9062351708580793,0.889937106918239,0.8895914296183008,0.01650943396226412,0.027680140597539545,0.8776205450733753,6,716,2276,,,,,,,175.0
multi_targeted_non_malicious,3,RF,FGSM-SNN-targeted-benign,0.2,3,0.9064465408805031,0.9062351708580793,0.5820230607966457,0.4789987314128605,0.32442348008385746,0.3475395430579965,0.8776205450733753,6,716,2276,,,,,,,
multi_targeted_non_malicious,3,RF,PGD-10-SNN-targeted-benign,0.2,3,0.9064465408805031,0.9062351708580793,0.5662997903563941,0.470904705425313,0.34014675052410903,0.46441124780316345,0.8776205450733753,6,716,2276,10.0,10.0,0.03,,,,
multi_targeted_non_malicious,3,RF,PGD-20-SNN-targeted-benign,0.2,3,0.9064465408805031,0.9062351708580793,0.5673480083857443,0.4718217097519191,0.33909853249475885,0.46309314586994726,0.8776205450733753,6,716,2276,20.0,19.0,0.015789473684210527,,,,
