task,fold,model,attack,epsilon,clean_acc,clean_f1,adv_acc,adv_f1,acc_drop,asr,evasion_asr,snn_agreement,num_classes,num_features
binary,2,RF,FGSM-SNN,0.05,0.6721698113207547,0.5599836604238866,0.5825471698113207,0.5052369147482576,0.089622641509434,0.13601609657947686,0.13601609657947686,0.9787735849056604,2,453
binary,2,RF,PGD-10-SNN,0.05,0.6721698113207547,0.5599836604238866,0.6535639412997903,0.5288007553237642,0.018605870020964366,0.008450704225352112,0.008450704225352112,0.9787735849056604,2,453
binary,2,RF,PGD-20-SNN,0.05,0.6721698113207547,0.5599836604238866,0.6530398322851153,0.5285262428291834,0.0191299790356394,0.00925553319919517,0.00925553319919517,0.9787735849056604,2,453
binary,2,RF,BBA,0.05,0.6721698113207547,0.5599836604238866,0.6585429769392034,0.5322922841968308,0.013626834381551323,0.0016096579476861167,0.0016096579476861167,0.9787735849056604,2,453
binary,2,RF,DBA-style,0.05,0.6721698113207547,0.5599836604238866,0.6721698113207547,0.5599836604238866,0.0,0.0,0.0,0.9787735849056604,2,453
binary,2,RF,FGSM-SNN,0.1,0.6721698113207547,0.5599836604238866,0.44549266247379454,0.4172585267819036,0.22667714884696016,0.34567404426559356,0.34567404426559356,0.9787735849056604,2,453
binary,2,RF,PGD-10-SNN,0.1,0.6721698113207547,0.5599836604238866,0.6289308176100629,0.5133361121775829,0.04323899371069184,0.04386317907444668,0.04386317907444668,0.9787735849056604,2,453
binary,2,RF,PGD-20-SNN,0.1,0.6721698113207547,0.5599836604238866,0.6331236897274634,0.5167822161548604,0.03904612159329135,0.03903420523138833,0.03903420523138833,0.9787735849056604,2,453
binary,2,RF,BBA,0.1,0.6721698113207547,0.5599836604238866,0.6533018867924528,0.5205427510717894,0.018867924528301883,0.0016096579476861167,0.0016096579476861167,0.9787735849056604,2,453
binary,2,RF,DBA-style,0.1,0.6721698113207547,0.5599836604238866,0.6721698113207547,0.5599836604238866,0.0,0.0,0.0,0.9787735849056604,2,453
binary,2,RF,FGSM-SNN,0.2,0.6721698113207547,0.5599836604238866,0.4612159329140461,0.4279065483600125,0.2109538784067086,0.3215291750503018,0.3215291750503018,0.9787735849056604,2,453
binary,2,RF,PGD-10-SNN,0.2,0.6721698113207547,0.5599836604238866,0.5657756813417191,0.48048576446672514,0.10639412997903563,0.14285714285714285,0.14285714285714285,0.9787735849056604,2,453
binary,2,RF,PGD-20-SNN,0.2,0.6721698113207547,0.5599836604238866,0.5613207547169812,0.4769859451839143,0.11084905660377353,0.14849094567404428,0.14849094567404428,0.9787735849056604,2,453
binary,2,RF,BBA,0.2,0.6721698113207547,0.5599836604238866,0.6118972746331237,0.495030179292539,0.060272536687630995,0.060764587525150904,0.060764587525150904,0.9787735849056604,2,453
binary,2,RF,DBA-style,0.2,0.6721698113207547,0.5599836604238866,0.6721698113207547,0.5599836604238866,0.0,0.0,0.0,0.9787735849056604,2,453
binary,2,RF,FGSM-SNN,0.3,0.6721698113207547,0.5599836604238866,0.42479035639413,0.4029394384225814,0.24737945492662472,0.37706237424547284,0.37706237424547284,0.9787735849056604,2,453
binary,2,RF,PGD-10-SNN,0.3,0.6721698113207547,0.5599836604238866,0.5345911949685535,0.4658872977668599,0.13757861635220126,0.19476861167002013,0.19476861167002013,0.9787735849056604,2,453
binary,2,RF,PGD-20-SNN,0.3,0.6721698113207547,0.5599836604238866,0.5408805031446541,0.4690072904286716,0.13128930817610063,0.18430583501006037,0.18430583501006037,0.9787735849056604,2,453
binary,2,RF,BBA,0.3,0.6721698113207547,0.5599836604238866,0.5220125786163522,0.44749605613512977,0.1501572327044025,0.19919517102615694,0.19919517102615694,0.9787735849056604,2,453
binary,2,RF,DBA-style,0.3,0.6721698113207547,0.5599836604238866,0.6721698113207547,0.5599836604238866,0.0,0.0,0.0,0.9787735849056604,2,453
binary,2,DT,FGSM-SNN,0.05,0.6703354297693921,0.5593001522127836,0.5956498951781971,0.5068735759441427,0.07468553459119498,0.1065805409769883,0.1065805409769883,0.9764150943396226,2,453
binary,2,DT,PGD-10-SNN,0.05,0.6703354297693921,0.5593001522127836,0.6063941299790356,0.5058878952882171,0.06394129979035645,0.08276140492531288,0.08276140492531288,0.9764150943396226,2,453
binary,2,DT,PGD-20-SNN,0.05,0.6703354297693921,0.5593001522127836,0.6074423480083857,0.5030846876133958,0.06289308176100639,0.07751312071053694,0.07751312071053694,0.9764150943396226,2,453
binary,2,DT,BBA,0.05,0.6703354297693921,0.5593001522127836,0.44575471698113206,0.40172058235094954,0.22458071278826003,0.3132821962050868,0.3132821962050868,0.9764150943396226,2,453
binary,2,DT,DBA-style,0.05,0.6703354297693921,0.5593001522127836,0.4158805031446541,0.383763798505884,0.254454926624738,0.361324182478805,0.361324182478805,0.9764150943396226,2,453
binary,2,DT,FGSM-SNN,0.1,0.6703354297693921,0.5593001522127836,0.660377358490566,0.5582916978676913,0.009958071278826086,0.024222850222042795,0.024222850222042795,0.9764150943396226,2,453
binary,2,DT,PGD-10-SNN,0.1,0.6703354297693921,0.5593001522127836,0.5862159329140462,0.5043062921623999,0.08411949685534592,0.12595882115462254,0.12595882115462254,0.9764150943396226,2,453
binary,2,DT,PGD-20-SNN,0.1,0.6703354297693921,0.5593001522127836,0.5904088050314465,0.5064569757992078,0.07992662473794554,0.1182882519176423,0.1182882519176423,0.9764150943396226,2,453
binary,2,DT,BBA,0.1,0.6703354297693921,0.5593001522127836,0.3789308176100629,0.3580471351496071,0.29140461215932917,0.4162293096487687,0.4162293096487687,0.9764150943396226,2,453
binary,2,DT,DBA-style,0.1,0.6703354297693921,0.5593001522127836,0.4158805031446541,0.383763798505884,0.254454926624738,0.361324182478805,0.361324182478805,0.9764150943396226,2,453
binary,2,DT,FGSM-SNN,0.2,0.6703354297693921,0.5593001522127836,0.6755765199161425,0.5674595059699821,-0.005241090146750449,0.0008074283407347598,0.0008074283407347598,0.9764150943396226,2,453
binary,2,DT,PGD-10-SNN,0.2,0.6703354297693921,0.5593001522127836,0.5799266247379455,0.5012043347848822,0.09040880503144655,0.13605167541380703,0.13605167541380703,0.9764150943396226,2,453
binary,2,DT,PGD-20-SNN,0.2,0.6703354297693921,0.5593001522127836,0.5691823899371069,0.49265971774363954,0.10115303983228519,0.15018167137666533,0.15018167137666533,0.9764150943396226,2,453
binary,2,DT,BBA,0.2,0.6703354297693921,0.5593001522127836,0.37840670859538783,0.3576878621932069,0.29192872117400426,0.4170367379895034,0.4170367379895034,0.9764150943396226,2,453
binary,2,DT,DBA-style,0.2,0.6703354297693921,0.5593001522127836,0.4158805031446541,0.383763798505884,0.254454926624738,0.361324182478805,0.361324182478805,0.9764150943396226,2,453
binary,2,DT,FGSM-SNN,0.3,0.6703354297693921,0.5593001522127836,0.67583857442348,0.5676176454594613,-0.005503144654087966,0.0004037141703673799,0.0004037141703673799,0.9764150943396226,2,453
