task,fold,model,attack,epsilon,clean_acc,clean_f1,adv_acc,adv_f1,acc_drop,asr,evasion_asr,snn_agreement,num_classes,num_features
multi,1,DT,BBA,0.2,0.5969601677148847,0.49056557597270156,0.32573375262054505,0.2004634292521219,0.27122641509433965,0.43781094527363185,0.17005879692446857,0.9179769392033543,6,453
multi,1,DT,DBA-style,0.2,0.5969601677148847,0.49056557597270156,0.3283542976939203,0.19277631841698487,0.26860587002096437,0.43509724106739034,0.11940298507462686,0.9179769392033543,6,453
multi,1,DT,FGSM-SNN,0.3,0.5969601677148847,0.49056557597270156,0.4192872117400419,0.3049935317863759,0.17767295597484278,0.3012211668928087,0.20714608774310267,0.9179769392033543,6,453
multi,1,DT,PGD-10-SNN,0.3,0.5969601677148847,0.49056557597270156,0.38836477987421386,0.28133974927551564,0.20859538784067083,0.3464495703301673,0.15739484396200815,0.9179769392033543,6,453
multi,1,DT,PGD-20-SNN,0.3,0.5969601677148847,0.49056557597270156,0.3870545073375262,0.28022463882411375,0.20990566037735847,0.3473541383989145,0.15920398009950248,0.9179769392033543,6,453
multi,1,DT,BBA,0.3,0.5969601677148847,0.49056557597270156,0.32573375262054505,0.20199697688206883,0.27122641509433965,0.43781094527363185,0.16824966078697423,0.9179769392033543,6,453
multi,1,DT,DBA-style,0.3,0.5969601677148847,0.49056557597270156,0.3283542976939203,0.19277631841698487,0.26860587002096437,0.43509724106739034,0.11940298507462686,0.9179769392033543,6,453
multi,1,XGBoost,FGSM-SNN,0.05,0.6118972746331237,0.5066218054988113,0.4101153039832285,0.30598134134949634,0.20178197064989523,0.33613445378151263,0.011499336576735958,0.924266247379455,6,453
multi,1,XGBoost,PGD-10-SNN,0.05,0.6118972746331237,0.5066218054988113,0.41457023060796644,0.3148136074261273,0.19732704402515727,0.32242370632463513,0.03582485625829279,0.924266247379455,6,453
multi,1,XGBoost,PGD-20-SNN,0.05,0.6118972746331237,0.5066218054988113,0.4111635220125786,0.30749197468262546,0.2007337526205451,0.32463511720477667,0.03051747014595312,0.924266247379455,6,453
multi,1,XGBoost,BBA,0.05,0.6118972746331237,0.5066218054988113,0.3642557651991614,0.25351665502748105,0.2476415094339623,0.39628482972136225,0.028748341441839895,0.924266247379455,6,453
multi,1,XGBoost,DBA-style,0.05,0.6118972746331237,0.5066218054988113,0.60062893081761,0.49321075609197007,0.01126834381551367,0.015037593984962405,0.0004422821760283061,0.924266247379455,6,453
multi,1,XGBoost,FGSM-SNN,0.1,0.6118972746331237,0.5066218054988113,0.40670859538784065,0.30342450928665887,0.20518867924528306,0.3383458646616541,0.040689960194604156,0.924266247379455,6,453
multi,1,XGBoost,PGD-10-SNN,0.1,0.6118972746331237,0.5066218054988113,0.375,0.26559563296586586,0.2368972746331237,0.3816895179124281,0.08668730650154799,0.924266247379455,6,453
